,Episodes,Rewards
1525,152,82.0
1526,152,10.0
1527,152,165.0
1528,152,191.0
1529,152,78.0
1530,153,122.0
1531,153,69.0
1532,153,55.0
1533,153,192.0
1534,153,38.0
1535,153,69.0
1536,153,12.0
1537,153,165.0
1538,153,191.0
1539,153,104.0
1540,154,116.0
1541,154,70.0
1542,154,57.0
1543,154,192.0
1544,154,38.0
1545,154,69.0
1546,154,9.0
1547,154,165.0
1548,154,191.0
1549,154,108.0
1550,155,112.0
1551,155,68.0
1552,155,57.0
1553,155,192.0
1554,155,35.0
1555,155,73.0
1556,155,10.0
1557,155,165.0
1558,155,191.0
1559,155,76.0
1560,156,128.0
1561,156,74.0
1562,156,57.0
1563,156,192.0
1564,156,35.0
1565,156,76.0
1566,156,10.0
1567,156,165.0
1568,156,191.0
1569,156,93.0
1570,157,130.0
1571,157,55.0
1572,157,61.0
1573,157,100.0
1574,157,37.0
1575,157,85.0
1576,157,9.0
1577,157,165.0
1578,157,191.0
1579,157,83.0
1580,158,144.0
1581,158,55.0
1582,158,57.0
1583,158,185.0
1584,158,43.0
1585,158,74.0
1586,158,12.0
1587,158,194.0
1588,158,191.0
1589,158,123.0
1590,159,162.0
1591,159,64.0
1592,159,61.0
1593,159,155.0
1594,159,39.0
1595,159,81.0
1596,159,11.0
1597,159,194.0
1598,159,191.0
1599,159,114.0
1600,160,159.0
1601,160,59.0
1602,160,59.0
1603,160,162.0
1604,160,46.0
1605,160,84.0
1606,160,13.0
1607,160,199.0
1608,160,191.0
1609,160,198.0
1610,161,173.0
1611,161,59.0
1612,161,64.0
1613,161,163.0
1614,161,39.0
1615,161,92.0
1616,161,10.0
1617,161,199.0
1618,161,191.0
1619,161,198.0
1620,162,175.0
1621,162,63.0
1622,162,71.0
1623,162,115.0
1624,162,39.0
1625,162,97.0
1626,162,11.0
1627,162,199.0
1628,162,191.0
1629,162,198.0
1630,163,175.0
1631,163,62.0
1632,163,61.0
1633,163,114.0
1634,163,42.0
1635,163,103.0
1636,163,12.0
1637,163,199.0
1638,163,191.0
1639,163,198.0
1640,164,193.0
1641,164,60.0
1642,164,64.0
1643,164,122.0
1644,164,44.0
1645,164,121.0
1646,164,11.0
1647,164,199.0
1648,164,191.0
1649,164,198.0
1650,165,193.0
1651,165,55.0
1652,165,64.0
1653,165,126.0
1654,165,45.0
1655,165,96.0
1656,165,10.0
1657,165,199.0
1658,165,191.0
